epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,44025.9,0.43954,0.26907,0.84875,0.89254,0.71714,0.81774,0.61681,0.84814,0.57046,1.05312,0.0007328,0.0007328,0.0007328
66,44710.4,0.43516,0.26537,0.84892,0.89895,0.70286,0.79784,0.60315,0.83308,0.60216,1.02715,0.000713,0.000713,0.000713
67,45426.7,0.43365,0.26374,0.8522,0.90896,0.69418,0.81434,0.62637,0.82754,0.59393,1.03182,0.0006932,0.0006932,0.0006932
68,46144.2,0.43384,0.26477,0.84829,0.88723,0.71933,0.8257,0.62101,0.84425,0.54034,1.02777,0.0006734,0.0006734,0.0006734
69,46932.9,0.42671,0.26073,0.84129,0.88865,0.62095,0.7438,0.55326,0.8041,0.51068,1.0032,0.0006536,0.0006536,0.0006536
70,47614.9,0.42555,0.2593,0.84449,0.89796,0.70398,0.82126,0.62793,0.83944,0.57442,1.04088,0.0006338,0.0006338,0.0006338
71,48291,0.41695,0.2518,0.8435,0.91522,0.69908,0.83546,0.64746,0.7989,0.54737,0.98156,0.000614,0.000614,0.000614
72,48988.4,0.41134,0.2508,0.83852,0.92899,0.69143,0.82614,0.63132,0.81951,0.54403,1.00562,0.0005942,0.0005942,0.0005942
73,49715.3,0.41746,0.25111,0.84352,0.90195,0.70963,0.81996,0.63048,0.80724,0.5851,0.99767,0.0005744,0.0005744,0.0005744
74,50402.8,0.40621,0.24631,0.83938,0.90412,0.70857,0.82267,0.64338,0.79284,0.57719,1.00111,0.0005546,0.0005546,0.0005546
75,51188.3,0.40662,0.24493,0.84358,0.94769,0.68,0.82771,0.63806,0.82113,0.56007,1.02315,0.0005348,0.0005348,0.0005348
76,51975,0.40859,0.24441,0.84128,0.92281,0.70952,0.8266,0.63833,0.82791,0.55546,1.02426,0.000515,0.000515,0.000515
77,52704.8,0.40297,0.24192,0.84062,0.89989,0.7191,0.82452,0.63603,0.80407,0.54562,0.99929,0.0004952,0.0004952,0.0004952
78,53445.6,0.39622,0.24079,0.83645,0.8803,0.73048,0.83586,0.65285,0.78934,0.56528,0.98518,0.0004754,0.0004754,0.0004754
79,54168.1,0.39609,0.23666,0.8397,0.87795,0.73306,0.83484,0.64089,0.80437,0.52152,0.98526,0.0004556,0.0004556,0.0004556
80,54895.8,0.39287,0.23573,0.83486,0.89603,0.72228,0.84057,0.66025,0.7925,0.53577,0.98971,0.0004358,0.0004358,0.0004358
81,55684.2,0.39336,0.23402,0.83223,0.90918,0.73238,0.83712,0.65023,0.80179,0.53153,0.98277,0.000416,0.000416,0.000416
82,56376.6,0.40008,0.23593,0.83863,0.886,0.7254,0.83217,0.64512,0.79172,0.55291,0.99825,0.0003962,0.0003962,0.0003962
83,57139.6,0.38668,0.23033,0.83407,0.92933,0.73896,0.85642,0.66334,0.81718,0.51846,1.01248,0.0003764,0.0003764,0.0003764
